,local_time,temp,pressure,rel_humidity,wind_dir,wind_speed
0,21.05.2020 11:30,40.6,731.3,14.0,Wind blowing from the north-west,5.0
1,21.05.2020 08:30,29.4,731.5,35.0,Wind blowing from the west,3.0
2,21.05.2020 05:30,27.0,730.7,41.0,Wind blowing from the south-southwest,2.0
3,21.05.2020 02:30,30.2,730.5,30.0,Wind blowing from the west,2.0
4,20.05.2020 23:30,32.4,731.4,23.0,Wind blowing from the west,2.0
5,20.05.2020 20:30,33.4,730.5,34.0,Wind blowing from the west,2.0
6,20.05.2020 17:30,39.2,729.5,17.0,Wind blowing from the west-northwest,5.0
7,20.05.2020 14:30,40.6,730.5,14.0,Wind blowing from the west-northwest,5.0
8,20.05.2020 11:30,38.2,732.0,17.0,Wind blowing from the north-west,4.0
9,20.05.2020 08:30,30.2,,30.0,Wind blowing from the north-west,2.0
10,20.05.2020 05:30,24.4,730.9,42.0,"Calm, no wind",0.0
11,20.05.2020 02:30,28.0,730.8,41.0,"Calm, no wind",0.0
12,19.05.2020 23:30,30.4,731.0,35.0,"Calm, no wind",0.0
13,19.05.2020 20:30,33.8,730.6,27.0,"Calm, no wind",0.0
14,19.05.2020 17:30,39.0,729.7,14.0,Wind blowing from the north-west,3.0
15,19.05.2020 14:30,42.0,733.1,12.0,Wind blowing from the north-west,2.0
16,19.05.2020 11:30,39.6,732.2,18.0,Wind blowing from the north-west,2.0
17,19.05.2020 08:30,,,,"Calm, no wind",0.0
18,19.05.2020 05:30,23.4,731.5,44.0,"Calm, no wind",0.0
19,19.05.2020 02:30,26.4,731.1,37.0,"Calm, no wind",0.0
20,18.05.2020 23:30,28.4,731.7,34.0,"Calm, no wind",0.0
21,18.05.2020 20:30,32.2,730.8,29.0,"Calm, no wind",0.0
22,18.05.2020 17:30,39.6,730.0,11.0,Wind blowing from the west-northwest,5.0
23,18.05.2020 14:30,39.8,731.1,18.0,Wind blowing from the west-northwest,7.0
24,18.05.2020 11:30,38.0,733.2,33.0,Wind blowing from the west,3.0
25,18.05.2020 08:30,29.8,733.3,49.0,Wind blowing from the south-west,2.0
26,18.05.2020 05:30,26.8,732.0,60.0,"Calm, no wind",0.0
27,18.05.2020 02:30,27.2,731.6,59.0,Wind blowing from the west,3.0
28,17.05.2020 23:30,29.2,732.0,51.0,"Calm, no wind",0.0
29,17.05.2020 20:30,32.6,731.6,35.0,Wind blowing from the south-west,2.0
30,17.05.2020 17:30,38.2,730.6,31.0,Wind blowing from the west-northwest,3.0
31,17.05.2020 14:30,41.2,732.1,27.0,Wind blowing from the west,4.0
32,17.05.2020 11:30,39.6,733.8,26.0,Wind blowing from the west,2.0
33,17.05.2020 08:30,32.4,733.7,42.0,Wind blowing from the west,2.0
34,17.05.2020 05:30,26.4,732.5,57.0,Wind blowing from the south-west,2.0
35,17.05.2020 02:30,27.8,732.2,52.0,"Calm, no wind",0.0
36,16.05.2020 20:30,33.4,732.4,36.0,Wind blowing from the west,3.0
37,16.05.2020 17:30,38.8,731.6,25.0,Wind blowing from the west-northwest,6.0
38,16.05.2020 14:30,40.2,733.3,19.0,Wind blowing from the west-northwest,6.0
39,16.05.2020 11:30,37.6,734.8,28.0,Wind blowing from the west-northwest,4.0
40,16.05.2020 08:30,29.4,735.0,55.0,Wind blowing from the west,3.0
41,16.05.2020 05:30,27.0,733.9,63.0,Wind blowing from the north-west,2.0
42,16.05.2020 02:30,27.8,733.3,48.0,Wind blowing from the north-west,2.0
43,15.05.2020 23:30,29.8,733.5,44.0,Wind blowing from the west,2.0
44,15.05.2020 20:30,33.0,733.2,38.0,Wind blowing from the west-northwest,3.0
45,15.05.2020 17:30,38.0,732.6,27.0,Wind blowing from the west-northwest,5.0
46,15.05.2020 14:30,39.6,733.9,31.0,Wind blowing from the west-northwest,5.0
47,15.05.2020 11:30,36.8,735.5,32.0,Wind blowing from the north-west,5.0
48,15.05.2020 08:30,29.2,735.5,53.0,Wind blowing from the west-northwest,2.0
49,15.05.2020 05:30,24.6,734.5,66.0,"Calm, no wind",0.0
50,15.05.2020 02:30,27.2,734.4,62.0,Wind blowing from the west-northwest,5.0
51,14.05.2020 23:30,27.8,734.5,57.0,Wind blowing from the west-southwest,3.0
52,14.05.2020 20:30,26.6,734.2,67.0,Wind blowing from the east-northeast,5.0
53,14.05.2020 17:30,37.6,732.6,38.0,Wind blowing from the south-east,2.0
54,14.05.2020 14:30,37.8,734.1,34.0,Wind blowing from the south-west,2.0
55,14.05.2020 11:30,37.2,735.8,36.0,Wind blowing from the south-east,2.0
56,14.05.2020 08:30,29.0,735.8,61.0,Wind blowing from the south-southwest,2.0
57,14.05.2020 05:30,26.4,734.2,69.0,"Calm, no wind",0.0
58,14.05.2020 02:30,27.2,734.1,69.0,"Calm, no wind",0.0
59,13.05.2020 23:30,27.6,734.8,66.0,"Calm, no wind",0.0
60,13.05.2020 20:30,29.2,734.0,59.0,Wind blowing from the south,2.0
61,13.05.2020 17:30,35.0,733.3,42.0,Wind blowing from the north-west,3.0
62,13.05.2020 14:30,34.8,735.0,43.0,Wind blowing from the east,3.0
63,13.05.2020 11:30,31.6,736.7,51.0,Wind blowing from the north-east,3.0
64,13.05.2020 08:30,28.6,737.0,63.0,Wind blowing from the north-northwest,2.0
65,13.05.2020 05:30,26.4,735.5,74.0,Wind blowing from the south-west,2.0
66,13.05.2020 02:30,27.6,734.8,72.0,"Calm, no wind",0.0
